"SEQN","SDDSRVYR","RIDSTATR","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","RIAGENDR","RIDAGEYR","RIDRETH3","DMDEDUC2","DMDMARTL","INDFMPIR","age_cluster","FIPR_cluster"
83732,9,2,134671.370419,135629.507405,1,125,1,62,3,5,1,4.39,2,3
83733,9,2,24328.560239,25282.425927,1,125,1,53,3,3,3,1.32,2,2
83734,9,2,12400.008522,12575.838818,1,131,1,78,3,3,1,1.51,3,2
83735,9,2,102717.995647,102078.634508,1,131,2,56,3,5,6,5,2,3
83737,9,2,11252.311968,10878.684022,1,128,2,72,1,2,4,2.82,3,2
83741,9,2,37043.087007,39353.307397,2,128,1,22,4,4,5,2.08,1,2
83742,9,2,22744.355082,23557.163453,1,125,2,32,1,4,1,1.03,1,1
83744,9,2,20395.53531,20068.662891,2,126,1,56,4,3,3,1.19,2,1
83747,9,2,34513.077877,35673.964272,1,121,1,46,3,5,6,0.75,2,1
83750,9,2,96194.928435,97001.987877,1,125,1,45,7,2,5,1.36,2,2
83752,9,2,36978.419865,38680.531261,1,124,2,30,2,4,6,5,1,3
83754,9,2,10495.865944,10191.914345,1,128,2,67,2,5,1,0.89,3,1
83755,9,2,14080.095558,13991.639152,1,126,1,67,4,5,2,2.04,3,2
83757,9,2,11709.112101,12413.062527,1,120,2,57,2,1,4,0.77,2,1
83758,9,1,30375.765839,0,2,133,1,80,3,5,2,4.71,3,3
83761,9,2,15420.801307,18010.012692,1,119,2,24,6,5,5,0,1,1
83762,9,2,38387.34103,43424.328288,1,132,2,27,4,4,5,2.12,1,2
83767,9,2,21914.036865,23219.518074,2,122,2,54,6,4,3,2.99,2,2
83769,9,2,26837.741442,28350.831746,1,132,1,49,6,2,1,2.97,2,2
83773,9,2,37582.053359,39939.418885,1,131,2,80,3,3,2,3.57,3,3
83775,9,2,7250.103342,8799.980525,2,119,2,69,2,1,4,0.55,3,1
83776,9,2,21433.175988,21493.64217,2,128,2,58,1,5,1,3.72,2,3
83777,9,2,13892.041938,14484.987902,2,133,1,56,6,2,1,1.35,2,2
83785,9,2,10495.865944,10191.914345,1,128,2,60,2,5,3,5,2,3
83787,9,2,8842.349896,10732.606587,1,128,2,68,1,1,3,1.49,3,2
83788,9,2,50114.531635,49234.971244,2,120,2,69,3,4,1,1.79,3,2
83789,9,2,181684.438654,181461.242024,1,132,1,66,3,5,6,5,3,3
83790,9,2,31179.690344,32402.172747,2,126,1,56,3,1,1,1,2,1
83799,9,2,34128.785029,35348.435447,1,122,2,37,2,4,1,4.18,1,3
83803,9,2,21218.100824,21170.1696,2,126,1,27,4,4,3,2.36,1,2
83809,9,2,37564.933469,40405.577191,1,129,2,20,4,3,5,3.3,1,2
83812,9,2,10255.968393,9985.161752,1,124,2,68,1,3,1,5,3,3
83813,9,2,119259.400514,127925.616456,1,130,1,24,3,4,3,2.89,1,2
