              coef.base_model.      X2.5..    X97.5..
(Intercept)        -1.49707607 -2.05578741 -0.9383647
RIAGENDR2          -0.44409611 -0.69387445 -0.1943178
RIDRETH32          -0.01452244 -0.33419805  0.3051532
RIDRETH33           0.23523991 -0.01181331  0.4822931
RIDRETH34           0.70057763  0.46487208  0.9362832
RIDRETH36           0.69094639  0.38145348  1.0004393
RIDRETH37           0.49709775 -0.10874599  1.1029415
DMDEDUC22          -0.41103015 -0.92588289  0.1038226
DMDEDUC23          -0.20318753 -0.56748293  0.1611079
DMDEDUC24          -0.29771745 -0.73731867  0.1418838
DMDEDUC25          -0.51391097 -0.92153112 -0.1062908
DMDMARTL2           0.70074371  0.25427770  1.1472097
DMDMARTL3           0.11612635 -0.14461701  0.3768697
DMDMARTL4           0.47426422 -0.07662297  1.0251514
DMDMARTL5           0.04353494 -0.31199215  0.3990620
DMDMARTL6           0.01086550 -0.26154506  0.2832761
age_cluster2        1.41121135  1.11422596  1.7081967
age_cluster3        2.23578417  1.83208425  2.6394841
FIPR_cluster2      -0.09109452 -0.38865212  0.2064631
FIPR_cluster3      -0.12713283 -0.36555943  0.1112938
BMI_category1      -0.24890575 -1.11307073  0.6152592
BMI_category2       0.58481907  0.35904673  0.8105914
BMI_category3       1.16978369  0.94523943  1.3943280
LBDCOTLC1           0.06653399 -0.21122659  0.3442946
ALQ1012            -0.02798638 -0.24366404  0.1876913

     Cutoff Missclassification Sensitivity Specificity       AuC
1 0.4789035             0.2801   0.7869074   0.6412295 0.7829194

Confusion matrix
The columns are actuals, while rows are predicteds
     0    1
0 1210  472
1  677 1743
                            coef.base_model.        X2.5..      X97.5..
(Intercept)                      0.687305003  -0.636818278  2.011428284
RIAGENDR2                       -0.759318776  -1.661726637  0.143089085
RIDRETH32                        1.863654461  -0.317031771  4.044340693
RIDRETH33                        0.818281709  -1.130418566  2.766981983
RIDRETH34                        0.203476707  -2.723130145  3.130083558
RIDRETH36                        0.415007743  -1.944348783  2.774364270
RIDRETH37                        2.010936317  -2.371361631  6.393234265
DMDEDUC22                       -2.181732668  -4.203175055 -0.160290280
DMDEDUC23                       -1.797689816  -3.682375810  0.086996178
DMDEDUC24                       -1.930653325  -3.481527107 -0.379779544
DMDEDUC25                       -2.840127031  -4.320696866 -1.359557196
DMDMARTL2                       -1.531692950  -5.348232547  2.284846648
DMDMARTL3                        1.890280836  -0.564580446  4.345142118
DMDMARTL4                        0.793384730  -2.515035568  4.101805029
DMDMARTL5                       -0.516853259  -1.804446924  0.770740407
DMDMARTL6                       -1.412302507  -2.892427387  0.067822372
age_cluster2                    -0.495817942  -1.340320392  0.348684509
age_cluster3                     2.024976708   1.054481979  2.995471436
FIPR_cluster2                   -0.574308613  -2.131689189  0.983071963
FIPR_cluster3                   -0.324115939  -1.543744329  0.895512452
BMI_category1                  -22.732301234 -59.222909300 13.758306833
BMI_category2                   -0.759502158  -1.928912220  0.409907905
BMI_category3                   -0.481434370  -1.611571855  0.648703115
LBDCOTLC1                       -0.378415004  -1.617521677  0.860691669
ALQ1012                         -0.174255987  -1.083674723  0.735162750
RIAGENDR2:RIDRETH32             -0.026614183  -0.761698369  0.708470003
RIAGENDR2:RIDRETH33              0.314686270  -0.222897101  0.852269642
RIAGENDR2:RIDRETH34              0.717957442   0.057778318  1.378136567
RIAGENDR2:RIDRETH36              0.690495967  -0.127442082  1.508434016
RIAGENDR2:RIDRETH37              1.511791393   0.214485195  2.809097591
RIAGENDR2:DMDEDUC22              0.484325562  -0.543493557  1.512144682
RIAGENDR2:DMDEDUC23              0.082766240  -0.936742000  1.102274479
RIAGENDR2:DMDEDUC24             -0.190511464  -1.225599971  0.844577042
RIAGENDR2:DMDEDUC25             -0.271642364  -1.265470387  0.722185659
RIAGENDR2:DMDMARTL2              0.115935352  -1.026735551  1.258606256
RIAGENDR2:DMDMARTL3             -0.801407713  -1.378816221 -0.223999204
RIAGENDR2:DMDMARTL4              0.160789318  -1.633652705  1.955231340
RIAGENDR2:DMDMARTL5              0.213781865  -0.365543827  0.793107558
RIAGENDR2:DMDMARTL6              0.074946500  -0.947033762  1.096926763
RIAGENDR2:age_cluster2           0.993053671   0.542173560  1.443933782
